Gene,Frequency,Median_Rank
CD14,19,414
TRAV36DV7,19,423
MT1E,19,447
CD55,19,449
VPREB3,19,455
LGALS2,19,460
LDHA,19,463
DNASE1L3,19,471
HSPD1,19,518
THBS1,19,518
TNFRSF9,19,547
NFKB1,19,557
PLD4,19,564
ATF3,19,578
HCST,19,579
C15orf48,19,580
CITED2,19,641
LINC01857,19,681
CDKN1A,19,686
CD24,19,692
AHNAK,19,704
HSPH1,19,736
DYNLL1,19,757
HLA-DMA,19,776
SDCBP,19,780
H1FX,19,786
IGFBP7,19,819
KIR2DL4,19,849
CD38,19,850
FXYD2,19,851
MAL,19,866
GPR65,19,868
FCRL1,19,880
TNFSF9,19,894
STMN1,19,898
SLC4A10,19,915
GADD45G,19,938
TRAT1,19,980
FEZ1,19,990
RORA,19,1001
CXCR3,19,1036
LCP1,19,1047
LIMD2,19,1056
MAP3K8,19,1086
UCP2,19,1123
NELL2,19,1214
LBH,19,1220
TRAF1,19,1233
TNIP3,19,1249
DTHD1,19,1396
COL6A2,19,1452
IGLV1-40,18,35.5
IGKV1-9,18,44
IGLV4-69,18,47.5
IGLV2-11,18,48
IGLV6-57,18,109
IGHV4-61,18,128.5
IGHV1-2,18,148
TRAV34,18,200.5
FCER1A,18,309
SMIM25,18,321
CRTAM,18,330
HSP90AB1,18,337
MYC,18,357
DUSP5,18,384
RUBCNL,18,417
ATP1B3,18,465.5
YBX3,18,505.5
IFNGR1,18,510.5
ENC1,18,543.5
CLEC2B,18,605.5
RRAD,18,608.5
MEF2C,18,612
GBP5,18,661.5
NEU1,18,703.5
CD19,18,735.5
TCF4,18,739
IL4I1,18,741.5
CXCR5,18,767.5
NR4A3,18,770
FXYD5,18,773.5
LINC02397,18,786
SATB1,18,796
ITGB2,18,807.5
NINJ1,18,857
S1PR1,18,885
KDM6B,18,895
NFKBID,18,897.5
S1PR5,18,898
GFPT2,18,902.5
ID1,18,922.5
LEF1,18,925.5
KLRC2,18,936
CD22,18,957.5
ITM2C,18,1012.5
CD5,18,1024
AC004832.6,18,1059
LAG3,18,1070
ICAM1,18,1075
ABLIM1,18,1080.5
SLC7A5,18,1081.5
TNFRSF18,18,1100
SPRY1,18,1110.5
CD27,18,1128.5
EOMES,18,1150.5
GLUL,18,1170.5
GPR171,18,1183.5
CRIP2,18,1278.5
HMGB2,18,1332.5
TC2N,18,1358.5
HNRNPLL,18,1381
IGKV1-17,17,20
IGHV3-21,17,30
IGLV2-8,17,30
IGHV3-11,17,37
IGLV3-25,17,40
IGKV1-16,17,44
IGHV3-43,17,75
IGHV3-15,17,80
IGHV3-53,17,91
IGKV2-29,17,105
IGKV2D-30,17,118
S100A12,17,128
IGHV3-66,17,137
IGKV1-33,17,142
CXCL3,17,181
IGKV1D-33,17,223
LILRA4,17,226
DUSP4,17,324
IGHG3,17,357
IFI30,17,433
HBA1,17,467
CD1C,17,486
PLAUR,17,515
TGFB1,17,526
SRSF7,17,599
INSIG1,17,646
FABP5,17,717
CTSL,17,728
PDE4B,17,815
SERPINB9,17,820
MT1X,17,835
CCR4,17,850
NR3C1,17,850
ALB,17,861
TNFRSF13C,17,872
FOXJ1,17,893
LGALS3,17,924
FASLG,17,933
ARID5B,17,954
HSPA5,17,961
ISG15,17,988
OASL,17,1008
SLA2,17,1018
CD44,17,1027
ZNF80,17,1034
LMNB1,17,1057
PDCD4,17,1081
SERTAD1,17,1086
NFE2L2,17,1089
ITGB1,17,1145
AOAH,17,1157
XBP1,17,1189
PIM1,17,1259
PLEK,17,1259
SLAMF1,17,1311
SH2D1A,17,1341
CDKN1C,17,1368
C12orf75,17,1406
ETS1,17,1457
IGHV2-5,16,38
IGKV1-27,16,49.5
IGHV3-33,16,96
TRBV12-2,16,179
FTL,16,274.5
HLA-DRB5,16,334
CLEC10A,16,362
IGHV1-3,16,373
CD68,16,389.5
APOC1,16,442.5
LINC01781,16,475.5
IL2,16,660.5
SGK1,16,672.5
HBA2,16,685.5
EEF1G,16,711
MT1G,16,742
RTKN2,16,751.5
RALGPS2,16,754.5
RNF19A,16,767
STAT1,16,805.5
SLA,16,828
EFHD2,16,838
HERPUD1,16,846
IRF4,16,872.5
PEG10,16,873
B3GNT7,16,899.5
CD200,16,918.5
PTGER4,16,921.5
GATA3,16,936
TNFSF14,16,981
C11orf96,16,993.5
RANBP2,16,1019.5
RHOB,16,1049.5
CD70,16,1066
LDHB,16,1072.5
PHLDA2,16,1089.5
LRRN3,16,1176
IGFBP4,16,1179.5
CLEC2D,16,1183.5
TNFRSF1B,16,1213
MARCKSL1,16,1227
GLA,16,1266.5
MLF1,16,1295.5
GIMAP4,16,1302.5
CCL23,16,1313.5
GPR25,16,1322.5
KIR3DX1,16,1395.5
IFRD1,16,1443.5
PTGDR,16,1483
CD48,16,1538
CYTOR,16,1563
MYBL1,16,1639.5
TRAC,16,1640
MAF,16,1658.5
PBX4,16,1680.5
IGKV1-12,15,22
IGKV1-8,15,34
IGHV7-4-1,15,43
IGHV4-31,15,91
SELENOP,15,260
EREG,15,339
TRAV8-5,15,368
IL1RN,15,423
TNFAIP6,15,438
IL10,15,451
CYP1B1,15,509
CFD,15,523
LAYN,15,532
CSTA,15,592
LILRB2,15,608
TRGV11,15,638
TRBV7-4,15,649
CLEC4C,15,667
COCH,15,683
CFP,15,742
TENT5C,15,748
RHOH,15,771
APOBEC3A,15,776
SOD2,15,778
HMOX1,15,807
TSHZ2,15,822
RMRP,15,884
FGL2,15,929
PRSS57,15,940
PROK2,15,961
LYN,15,986
FOSL2,15,992
LINC02195,15,1042
G3BP2,15,1057
SYNE2,15,1064
RAMP1,15,1083
PLIN2,15,1086
BIK,15,1110
COL19A1,15,1136
FLNA,15,1183
MNDA,15,1197
PFKFB3,15,1199
RASGEF1B,15,1211
AES,15,1213
EPHA1-AS1,15,1214
CD200R1,15,1266
LAT2,15,1281
BHLHE40,15,1306
TUBB2A,15,1365
NEFM,15,1407
CD300A,15,1413
EGR3,15,1432
CNN2,15,1484
MSC,15,1496
EDARADD,15,1497
DUSP6,15,1501
AC243829.4,15,1521
TRGC1,15,1536
LINC00402,15,1563
FCRL6,15,1596
TRBV16,14,76.5
IL17A,14,126.5
IGHV6-1,14,141.5
SERPINB2,14,151
IGKV1D-8,14,200
CXCL13,14,227
PMCH,14,255.5
TRH,14,368.5
TRAV40,14,403.5
CLEC9A,14,417
CCR8,14,471
SH3BGRL3,14,495.5
GRAMD2B,14,574.5
THBD,14,606
KLF4,14,667.5
SERPINE1,14,690.5
UBE2S,14,692
PHACTR1,14,693
BASP1,14,708.5
CCR9,14,786
APBB2,14,790.5
THY1,14,823.5
FAM30A,14,871.5
SRSF2,14,872
TPM2,14,879.5
CALR,14,961
BLK,14,1104
PAX5,14,1118.5
ITGA4,14,1123
THAP2,14,1152
DDX24,14,1158.5
CAMK4,14,1163.5
PDE4D,14,1168.5
AC020916.1,14,1182.5
CCNH,14,1203.5
HMGN2,14,1219.5
EML4,14,1225
BACH2,14,1226.5
MMP9,14,1251
TIPARP,14,1254.5
ITGAD,14,1281.5
GBP1,14,1283.5
ITGA1,14,1308
RSRP1,14,1309.5
PASK,14,1316
IL23R,14,1334.5
CD28,14,1343.5
CYTIP,14,1371.5
SESN3,14,1375
EGR2,14,1376.5
PTPRE,14,1449
FAM83D,14,1457
LSR,14,1490.5
FCRL2,14,1498
TCF7,14,1577
PBXIP1,14,1651.5
PYHIN1,14,1679.5
APOE,13,172
IGHV4-28,13,190
LYPD2,13,203
CXCL10,13,232
KRT5,13,244
IL21,13,299
IL3RA,13,433
IGHA2,13,487
EGLN3,13,608
IGHV5-78,13,703
MARCKS,13,764
SLC40A1,13,770
NEFL,13,793
GK,13,844
GNAL,13,920
IDI1,13,948
HIST1H1D,13,1019
HVCN1,13,1031
BATF,13,1039
CTSB,13,1083
SLC1A7,13,1101
JUND,13,1105
RILPL1,13,1116
APOC3,13,1173
SRRT,13,1255
CTSC,13,1312
TNFSF4,13,1312
LDLRAD4,13,1341
PDE3B,13,1348
CISH,13,1374
HPGD,13,1378
NAMPT,13,1389
ZC3H12A,13,1394
IL2RA,13,1397
RNF125,13,1416
SELPLG,13,1438
GCNT4,13,1445
CAPG,13,1450
TRBJ1-2,13,1451
RASL11A,13,1461
GADD45A,13,1477
SYAP1,13,1481
CHD1,13,1488
MYH9,13,1517
PRDM1,13,1531
TXK,13,1582
SIRPG,13,1586
KLF3,13,1595
NCR1,13,1600
THEMIS,13,1630
FCRL3,13,1701
INPP4B,13,1728
IGHV3-49,12,61
IGKV1-6,12,75.5
IGLV3-10,12,90.5
IGKV3D-20,12,180.5
CCL2,12,217
IGKV3D-15,12,222.5
IL13,12,425.5
ACTG1,12,429.5
ALKAL2,12,534
EEF1B2,12,538
RASIP1,12,557
TMEM176B,12,560.5
IDO1,12,562.5
LILRA5,12,646.5
CXCL12,12,654.5
HES1,12,691.5
VMO1,12,691.5
PTPRCAP,12,843.5
CD99,12,855.5
PPP1R14A,12,891.5
PAGE5,12,968
APOA2,12,985
TOMM7,12,989.5
ODC1,12,991.5
MPEG1,12,1000.5
BEX1,12,1012.5
HAVCR2,12,1014
LY9,12,1021.5
KRTAP16-1,12,1042.5
ELF1,12,1073
AL161781.2,12,1081
GRN,12,1097.5
IFIT1,12,1110
PTP4A1,12,1114.5
FAM107B,12,1132
PTPN22,12,1206
SCX,12,1226.5
DDX3X,12,1231
ETV1,12,1232.5
ANKS1B,12,1258
PHLDA3,12,1263.5
SNX9,12,1289
FAAH2,12,1298.5
AL021368.2,12,1303
SLC25A6,12,1314
CD40,12,1324
CR2,12,1328.5
TPM4,12,1341
RBBP8,12,1370.5
ANKRD12,12,1373
STAT4,12,1376
LINC01943,12,1388
AL163973.2,12,1452
ANKRD37,12,1464
ARL4A,12,1471.5
PNP,12,1486
STK17B,12,1542.5
ATP2B1,12,1614.5
SC5D,12,1633
PMAIP1,12,1638
IKZF2,12,1667.5
RORC,12,1766.5
FXYD7,12,1776.5
MTSS1,12,1780
IGLV7-46,11,45
IGLV8-61,11,105
IGHV1-24,11,184
CXCL9,11,219
SDS,11,416
NPTX2,11,460
PAPSS2,11,474
ADAMTS1,11,539
AL139020.1,11,566
AC108134.2,11,603
HEATR9,11,609
PTCRA,11,633
PPP1R17,11,674
KCNG1,11,735
LAPTM5,11,764
PTGS2,11,822
NOG,11,824
RASSF6,11,827
PSAP,11,836
DERL3,11,915
DGKK,11,919
PCDH9,11,924
IGSF6,11,929
ADGRG3,11,934
COL13A1,11,950
COMMD6,11,991
NUAK1,11,997
SYT5,11,1004
SELENOK,11,1023
MKI67,11,1041
FGF22,11,1043
VIT,11,1049
CTSS,11,1060
BRD2,11,1106
CNTNAP2,11,1134
SLC4A5,11,1163
AFF3,11,1170
DBNDD1,11,1172
TSPAN13,11,1181
EBF1,11,1196
UQCRB,11,1196
CD79B,11,1197
KIAA1551,11,1220
L1CAM,11,1264
ARHGAP24,11,1265
RELB,11,1265
TOX2,11,1266
RBM38,11,1273
SPRY2,11,1282
TRBJ2-2,11,1285
SFPQ,11,1307
KRTAP12-3,11,1327
LINC00894,11,1327
RNF213,11,1339
LINC01480,11,1358
BCL3,11,1402
RGS16,11,1420
HSH2D,11,1432
BAMBI,11,1464
NOP53,11,1474
LTA,11,1487
Z93241.1,11,1496
TOB1,11,1498
BTLA,11,1512
CD6,11,1526
SOD1,11,1528
DKK3,11,1535
GPR18,11,1539
AC016831.7,11,1545
SNRPD2,11,1563
NME2,11,1564
LGR6,11,1584
SLC38A1,11,1607
CD82,11,1608
GVQW3,11,1609
AC068775.1,11,1614
TGFBR3,11,1617
ADRB2,11,1700
LYST,11,1762
RAB11FIP1,11,1801
IGHV3-73,10,87
IGHV2-70,10,144.5
IGLVI-70,10,157
IGHV4-4,10,185.5
IGHV1-69,10,274
IGKV2D-29,10,284
CD177,10,300
FCN3,10,305
PABPC1,10,402.5
CHGB,10,459
PTX3,10,462.5
PNRC1,10,508.5
LINC02099,10,586.5
HINT1,10,597
OLR1,10,630.5
IGHG4,10,651.5
LRRC26,10,712.5
LINGO2,10,749
CD248,10,763
ARC,10,774
CD37,10,790
EVL,10,822.5
MAOB,10,840
COL9A3,10,842.5
CFAP97D2,10,870.5
ADAM28,10,881.5
AC104653.1,10,911
DSP,10,911.5
ADAM23,10,920
SERPINH1,10,938
DLGAP1,10,954.5
MIF,10,954.5
AC015967.1,10,959
AP003721.4,10,962
PAX9,10,970
FAM177B,10,985.5
AC005261.2,10,987
CORO1A,10,1012
CACNA1C,10,1047.5
DNAJB6,10,1071
PIM3,10,1096.5
AC008403.3,10,1102.5
GPR15,10,1116
TNFRSF10D,10,1164.5
PHLDB2,10,1166.5
C2orf15,10,1174
C9orf43,10,1191.5
FRMPD3,10,1192
GSPT1,10,1200
GNG8,10,1226
ANXA5,10,1235
PI16,10,1261.5
AC022021.1,10,1270
TNFRSF13B,10,1270
RAB31,10,1290
FUS,10,1295
CCND2,10,1320.5
MORF4L2-AS1,10,1330.5
CLECL1,10,1331.5
C9orf147,10,1338
ST8SIA1,10,1338.5
TTN,10,1339
COBLL1,10,1339.5
SERP1,10,1344
CD4,10,1373
PPIF,10,1384
SLC25A5,10,1401.5
RCAN2,10,1415
SMAP2,10,1415
GNA15,10,1418
HBQ1,10,1418.5
AUTS2,10,1421.5
KPNA2,10,1428
MATK,10,1440.5
NCF1,10,1451
SLC38A2,10,1462
SIT1,10,1472
ICAM2,10,1476.5
APOBEC3G,10,1483.5
GLIPR1,10,1501
HSPB1,10,1510
HLA-DMB,10,1555.5
TNK1,10,1557
PTMS,10,1565
IVNS1ABP,10,1565.5
TTC38,10,1581
GABARAPL1,10,1595
ZNF208,10,1598.5
PDCL3,10,1608.5
RIPOR2,10,1612.5
TMEM200A,10,1622
OSM,10,1643
TBX21,10,1661.5
H2AFX,10,1668.5
CTH,10,1674
FGR,10,1687
FBXO32,10,1786.5
SYNE1,10,1797.5
IGLV7-43,9,30
IGHV2-26,9,78
IGKV2-24,9,97
IGHV3-20,9,213
IGLV4-60,9,228
IGFL2,9,280
IGLV9-49,9,298
IGLV5-45,9,332
HBB,9,334
IL1A,9,346
TACSTD2,9,356
IL22,9,369
GATA2,9,371
IGHE,9,372
IL6,9,455
HSPA8,9,479
TRBV5-3,9,501
NPM1,9,558
TRBV1,9,578
CCL14,9,667
CH25H,9,680
LY6E,9,716
CALM2,9,720
KLK1,9,736
AQP9,9,776
AC090948.3,9,799
PPIB,9,801
HLA-DOB,9,828
AC009163.7,9,840
IL4,9,850
HNRNPA2B1,9,854
NPTX1,9,875
SAA1,9,876
FPR1,9,879
AL645933.2,9,883
HIST1H3B,9,919
EEF2,9,922
GNG7,9,941
FSTL4,9,955
AC009652.2,9,968
AC005670.2,9,969
AL662884.4,9,970
AC114488.2,9,982
AC243829.2,9,989
CLMP,9,992
Z82206.1,9,1011
GDPD3,9,1027
GSC,9,1027
AC073115.2,9,1033
HAMP,9,1034
BCL11A,9,1038
DRAIC,9,1049
CXCR2,9,1055
C17orf50,9,1061
PRDM5,9,1064
LRFN2,9,1068
HAR1B,9,1070
PILRA,9,1090
COX7C,9,1092
MACROD2,9,1096
NDUFS5,9,1101
Z99774.1,9,1105
AC126283.1,9,1112
CEP83-DT,9,1121
CNN3,9,1138
AC078881.1,9,1140
AC092535.4,9,1148
KRT73-AS1,9,1150
Z82188.2,9,1173
AC244197.3,9,1177
SEC23A-AS1,9,1206
SLC5A2,9,1219
NEDD8-MDP1,9,1221
MSS51,9,1223
AC093227.1,9,1231
IQCH,9,1240
CD72,9,1246
S100P,9,1255
GJB6,9,1259
PTPRK,9,1269
TCEAL2,9,1269
ENO1-AS1,9,1279
HPD,9,1279
LINC01238,9,1282
TBC1D4,9,1284
NPHP1,9,1291
BAG3,9,1296
TMSB15B-AS1,9,1297
EFNA3,9,1299
GNG11,9,1302
AC109460.4,9,1304
OST4,9,1310
PCSK1N,9,1310
IKZF3,9,1318
FSTL3,9,1350
CRYBG2,9,1375
CSRNP1,9,1378
ZNF781,9,1378
RSAD2,9,1379
AC234582.1,9,1385
CALY,9,1385
HNRNPDL,9,1392
PLK2,9,1394
AC073508.3,9,1395
PLXNB1,9,1396
KDM4D,9,1399
Z98752.4,9,1399
SLC6A16,9,1400
PTPRD,9,1411
ADTRP,9,1418
AC103702.2,9,1420
LINC01841,9,1436
AC245014.1,9,1441
PCDH1,9,1443
CMTM2,9,1455
TUBB,9,1457
LY86,9,1467
FCGR2B,9,1487
C1orf21,9,1491
EFCAB5,9,1491
CD9,9,1497
IL5RA,9,1498
SLFN5,9,1507
POU2AF1,9,1509
RUNX3,9,1520
LINC02580,9,1533
AC244197.2,9,1534
EGFL8,9,1548
BAZ1A,9,1557
HSPA2,9,1581
AP001412.1,9,1583
PRSS53,9,1585
LINC01336,9,1618
BCL11B,9,1624
IL10RA,9,1644
MIR222HG,9,1707
FRMD4B,9,1715
YES1,9,1717
PRNP,9,1732
PLK3,9,1767
MCOLN2,9,1776
HIST1H1C,9,1819
IFIT2,9,1841
IGHV3-13,8,94.5
IGKV5-2,8,114.5
TRBV6-7,8,115.5
IGKV2-26,8,202.5
IGLV3-9,8,207.5
IGLV2-5,8,210
IGHV3-72,8,276.5
MT-ND2,8,308
CD5L,8,362.5
UBB,8,367.5
BTG1,8,383.5
SARAF,8,389
GPNMB,8,420
VTN,8,514
KIR3DL3,8,559
MYL12A,8,561
MEIS3,8,575.5
TTR,8,589.5
LINC00866,8,647.5
TNFAIP2,8,661
KIT,8,699.5
DDX5,8,719
HMGB1,8,720
IL11,8,723.5
HNRNPA1,8,725.5
MT-ND4,8,725.5
YBX1,8,733.5
TREM2,8,764
SLC23A3,8,814
SORCS2,8,816
AL133551.1,8,829.5
REG4,8,840.5
RAI2,8,847.5
DIXDC1,8,856.5
AC006942.1,8,874.5
AC015849.1,8,887
AC106707.1,8,891.5
ITM2B,8,896.5
RDH16,8,901
AC092376.2,8,929
AC007878.1,8,932
HKDC1,8,943.5
SOBP,8,954
PSPN,8,962.5
AC004816.1,8,963
DBH-AS1,8,965
LSP1,8,983.5
SCN3A,8,1001
THSD1,8,1003.5
SNTG2,8,1010.5
NMB,8,1015
AC020928.2,8,1020
LRRC32,8,1024
SCN8A,8,1031
CPA5,8,1037.5
AL133410.1,8,1039.5
HS3ST1,8,1042.5
AC109347.1,8,1045.5
AC009299.3,8,1051.5
DNAAF1,8,1058.5
RIBC1,8,1068.5
SLC25A30-AS1,8,1071.5
AKAP5,8,1073
TNFSF11,8,1083.5
AC016405.3,8,1084
MYRF,8,1085.5
NPIPB11,8,1089
EFNA1,8,1094.5
PRRG2,8,1096
TRAJ37,8,1097
AC127496.5,8,1102.5
GLIS1,8,1108
CES1,8,1109
CD86,8,1111
AC022098.4,8,1111.5
NACAD,8,1114.5
AC087071.1,8,1117.5
AC034102.3,8,1128
PPDPF,8,1133
LCK,8,1141.5
CLEC17A,8,1142
SUB1,8,1142
AC099791.2,8,1150
RGPD2,8,1152
AC087362.1,8,1153
A2M,8,1155.5
DLX2,8,1155.5
RAC2,8,1166
SYDE2,8,1169.5
STK17A,8,1173.5
AC006254.1,8,1174.5
GLB1L2,8,1179.5
TUBB6,8,1180
FP671120.1,8,1182.5
TGFB3,8,1184
IDI2-AS1,8,1189
AL109767.1,8,1191
ZNF285,8,1192
AL662890.1,8,1193.5
DMRTC1,8,1197.5
AC099489.1,8,1201
ZBED2,8,1203.5
AL603839.3,8,1209
